Linux 6.8.0-87-generic (shreyash-ASUS-TUF-Gaming-F15-FX506HM-FX506HM) 	11/24/2025 	_x86_64_	(16 CPU)

07:24:12 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:24:19 AM  all    3.28    0.00    2.15    4.10    0.00    0.69    0.00    0.00    0.00   89.77
07:24:19 AM    0    2.00    0.00    2.00    0.00    0.00    2.00    0.00    0.00    0.00   94.00
07:24:19 AM    1    1.03    0.00    1.03    0.00    0.00    0.00    0.00    0.00    0.00   97.94
07:24:19 AM    2   21.43    0.00   11.22   66.33    0.00    1.02    0.00    0.00    0.00    0.00
07:24:19 AM    3    1.98    0.00    1.98    0.00    0.00    0.99    0.00    0.00    0.00   95.05
07:24:19 AM    4    3.03    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   95.96
07:24:19 AM    5    2.02    0.00    1.01    0.00    0.00    1.01    0.00    0.00    0.00   95.96
07:24:19 AM    6    2.00    0.00    1.00    0.00    0.00    1.00    0.00    0.00    0.00   96.00
07:24:19 AM    7    1.02    0.00    1.02    0.00    0.00    1.02    0.00    0.00    0.00   96.94
07:24:19 AM    8    2.02    0.00    2.02    0.00    0.00    1.01    0.00    0.00    0.00   94.95
07:24:19 AM    9    2.04    0.00    1.02    0.00    0.00    1.02    0.00    0.00    0.00   95.92
07:24:19 AM   10    2.02    0.00    2.02    0.00    0.00    1.01    0.00    0.00    0.00   94.95
07:24:19 AM   11    3.00    0.00    2.00    0.00    0.00    1.00    0.00    0.00    0.00   94.00
07:24:19 AM   12    2.02    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   95.96
07:24:19 AM   13    3.03    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   95.96
07:24:19 AM   14    2.02    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   95.96
07:24:19 AM   15    2.02    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   95.96

07:24:19 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:24:20 AM  all    3.79    0.00    2.15    4.11    0.00    0.57    0.00    0.00    0.00   89.39
07:24:20 AM    0    3.03    0.00    2.02    0.00    0.00    1.01    0.00    0.00    0.00   93.94
07:24:20 AM    1    2.02    0.00    1.01    0.00    0.00    1.01    0.00    0.00    0.00   95.96
07:24:20 AM    2   21.21    0.00   10.10   65.66    0.00    3.03    0.00    0.00    0.00    0.00
07:24:20 AM    3    3.03    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   95.96
07:24:20 AM    4    2.00    0.00    3.00    0.00    0.00    1.00    0.00    0.00    0.00   94.00
07:24:20 AM    5    3.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
07:24:20 AM    6    3.03    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   95.96
07:24:20 AM    7    2.02    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   96.97
07:24:20 AM    8    3.06    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   94.90
07:24:20 AM    9    2.02    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   95.96
07:24:20 AM   10    3.03    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   95.96
07:24:20 AM   11    2.06    0.00    2.06    0.00    0.00    0.00    0.00    0.00    0.00   95.88
07:24:20 AM   12    3.03    0.00    1.01    0.00    0.00    1.01    0.00    0.00    0.00   94.95
07:24:20 AM   13    2.02    0.00    2.02    0.00    0.00    1.01    0.00    0.00    0.00   94.95
07:24:20 AM   14    3.06    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   95.92
